model,month,status,n_stocks,objective_value,turnover,transaction_cost,short_borrow_cost,long_lending_revenue,gross_return,net_return,short_weight,gross_exposure,fee_exposure
M2,2021-12,CLARABEL_SOLVED,994,1.8538281871334485,2.1805435532270954,0.010902717766135477,0.0004532991706874025,2.1900267875531948e-05,-0.07559458463316115,-0.0869287013021085,0.2500000130958518,1.5000000261917028,0.0004532991706874025
M2,2022-01,CLARABEL_SOLVED,993,2.0674165630983867,2.0546806040164185,0.010273403020082093,0.004176797494184313,1.3341898020573163e-05,-0.10950620588894142,-0.12394306450518724,0.2500000070896134,1.5000000141792271,0.004176797494184313
M2,2022-02,CLARABEL_SOLVED,991,1.9152684280681003,2.0343114203740873,0.010171557101870437,0.0019749426872195833,3.74405856099833e-05,-0.03287150395599025,-0.04498056315947028,0.25000000424238233,1.500000008484765,0.0019749426872195833
M2,2022-03,CLARABEL_SOLVED,993,1.8056117515151868,2.074615664271184,0.01037307832135592,0.0010420953997080167,5.643832713233541e-05,0.011722372629738546,0.00036363723580694454,0.2500000202327945,1.5000000404655691,0.0010420953997080167
M2,2022-04,CLARABEL_SOLVED,990,1.8841403641884868,1.8626087395822317,0.00931304369791116,0.0010849244417373664,3.567409289048546e-05,-0.04990070918113819,-0.060263003227896225,0.250000013562294,1.5000000271245884,0.0010849244417373664
M2,2022-05,CLARABEL_SOLVED,991,1.8369023820690087,1.628156580578079,0.008140782902890395,0.002634874304228344,3.764202765035893e-05,0.014293371258413562,0.003555356078945182,0.2500000073465213,1.5000000146930426,0.002634874304228344
M2,2022-06,CLARABEL_SOLVED,990,1.8255219721147473,1.856668526994925,0.009283342634974625,0.0013302138774652153,3.365355791571133e-05,-0.12608804700755155,-0.13666794996207568,0.2500000171493195,1.5000000342986382,0.0013302138774652153
M2,2022-07,CLARABEL_SOLVED,991,2.0367538280444606,2.0245421428600094,0.010122710714300048,0.0008405987197952513,7.80135172822052e-05,0.1390440924363156,0.12815879651950252,0.25000000574878667,1.5000000114975731,0.0008405987197952513
M2,2022-08,CLARABEL_SOLVED,988,1.9788270910072965,1.899130487111598,0.00949565243555799,0.0021479271247911223,2.6127402553803174e-05,0.07816383784035669,0.06654638568256138,0.25000003220870826,1.500000064417418,0.0021479271247911223
M2,2022-09,CLARABEL_SOLVED,983,1.8858723209899166,1.6602572159183278,0.008301286079591639,0.0020156225876904366,3.7059460800652185e-05,-0.08554658060046917,-0.0958264298069506,0.2500000280460489,1.500000056092098,0.0020156225876904366
M2,2022-10,CLARABEL_SOLVED,977,1.8817460897180596,1.6896629722399341,0.00844831486119967,0.0013746580811181673,2.651173931851181e-05,0.16749337444742596,0.1576969132444266,0.25000004594634767,1.5000000918926957,0.0013746580811181673
